amount,hour,day_of_week,is_weekend,distance_km,device_age_days,account_age_days,transactions_last_24h,avg_amount_30d,failed_attempts_24h,is_new_device,is_new_location,merchant_risk,amount_to_avg,night_transaction,velocity_risk,failed_attempt_risk,channel_WEB,channel_MOBILE,channel_POS
2943.31,17,6,1,9.1,1029,520,5,1995.95,0,0,1,0.089,1.4739027016199704,0,0.5,0.0,0,1,0
2810.1,6,5,1,27.28,497,37,8,2412.37,0,0,0,0.287,1.1643883863642956,0,0.8,0.0,0,0,1
4204.69,7,3,0,37.84,312,402,3,2716.99,0,0,1,0.313,1.5469850882453577,0,0.3,0.0,1,0,0
1070.74,15,0,0,34.72,903,2249,3,3247.13,0,1,0,0.301,0.3296481360044087,0,0.3,0.0,0,1,0
1095.87,15,4,0,48.58,1499,1753,1,1609.53,0,1,0,0.19,0.6804406002992803,0,0.1,0.0,0,1,0
938.96,4,4,0,5.25,1434,1748,3,757.11,0,0,1,0.081,1.23855377188007,1,0.3,0.0,0,0,1
2229.03,16,6,1,19.7,1053,931,3,1677.55,0,0,0,0.4,1.327949718507045,0,0.3,0.0,1,0,0
1443.03,13,3,0,14.39,1034,1278,3,1762.07,0,0,1,0.104,0.818475726998928,0,0.3,0.0,0,1,0
2475.13,23,3,0,15.1,1183,1656,6,1672.84,0,1,0,0.434,1.4787136165941788,1,0.6,0.0,0,1,0
1815.63,11,1,0,42.76,329,274,4,1808.0,1,1,0,0.372,1.003665008291874,0,0.4,0.2,0,0,1
11201.98,17,4,0,61.97,246,1977,3,8242.99,1,0,0,0.235,1.3588056268869806,0,0.3,0.2,0,1,0
1840.52,16,4,0,81.53,219,2393,5,922.99,0,0,0,0.061,1.9919263195489127,0,0.5,0.0,0,0,1
751.58,15,6,1,52.67,625,538,1,2112.02,0,0,0,0.058,0.35568996034112316,0,0.1,0.0,0,0,1
2845.95,11,0,0,33.8,442,313,1,2499.99,0,0,0,0.141,1.1379293799655337,0,0.1,0.0,0,1,0
1299.79,23,5,1,10.03,686,1910,5,3554.27,0,0,0,0.5,0.36559529937248086,1,0.5,0.0,0,0,1
1186.2,19,3,0,17.33,1121,2474,7,831.09,0,0,0,0.565,1.4255669458832578,0,0.7,0.0,1,0,0
3113.23,9,4,0,8.84,740,2373,3,1422.64,1,0,0,0.424,2.186809867663173,0,0.3,0.2,0,0,1
815.21,15,2,0,31.02,1355,699,2,907.25,1,1,1,0.364,0.8975612441508396,0,0.2,0.2,0,1,0
2031.53,23,1,0,21.94,1204,1945,3,2884.62,0,0,0,0.366,0.7040185471406492,1,0.3,0.0,0,0,1
4580.7,9,2,0,25.41,1464,1058,5,5799.14,0,0,0,0.177,0.7897567989738178,0,0.5,0.0,1,0,0
1739.12,17,0,0,13.15,678,2012,1,1020.34,0,0,1,0.06,1.7027826189124091,0,0.1,0.0,0,1,0
19680.67,7,5,1,11.21,769,1078,3,750.76,0,0,0,0.275,26.179458869852077,0,0.3,0.0,0,1,0
528.86,16,2,0,20.07,723,2433,4,2774.73,0,0,0,0.204,0.19053005875931736,0,0.4,0.0,1,0,0
1788.57,18,1,0,9.0,1251,363,5,3064.31,0,0,1,0.475,0.5834874776123785,0,0.5,0.0,0,1,0
514.87,2,3,0,3.25,318,73,2,1527.37,0,0,0,0.145,0.3368752330914635,1,0.2,0.0,0,0,1
1996.77,20,4,0,30.72,1450,1517,4,3305.61,1,1,0,0.372,0.6038722437783711,0,0.4,0.2,1,0,0
1899.44,6,2,0,24.45,1400,769,2,931.88,1,0,0,0.325,2.036103250150073,0,0.2,0.2,0,1,0
1035.4,20,0,0,32.66,1285,2062,3,776.53,0,0,1,0.089,1.3316527979627797,0,0.3,0.0,1,0,0
1391.07,4,0,0,81.83,1192,1776,2,700.94,1,0,0,0.411,1.9817505769723907,1,0.2,0.2,1,0,0
10559.9,17,2,0,4.24,126,346,4,1788.38,0,0,0,0.422,5.901429545429142,0,0.4,0.0,0,0,1
3439.93,19,1,0,48.06,594,844,2,571.11,0,0,0,0.273,6.012707346489311,0,0.2,0.0,0,1,0
838.17,18,2,0,65.83,728,666,1,841.3,1,0,0,0.072,0.9950967588745103,0,0.1,0.2,0,0,1
3098.42,14,2,0,3.68,1499,744,5,1220.59,0,0,1,0.186,2.536382910796585,0,0.5,0.0,0,0,1
3520.34,16,6,1,64.31,608,730,2,2463.14,0,0,0,0.212,1.4286282435251245,0,0.2,0.0,1,0,0
2731.77,23,4,0,15.18,760,1455,4,2539.75,0,0,0,0.364,1.075182524845026,1,0.4,0.0,1,0,0
392.16,0,3,0,59.14,128,54,1,789.8,0,0,0,0.252,0.4959028831562975,1,0.1,0.0,0,0,1
2715.75,7,4,0,25.4,1161,36,9,3643.44,0,0,0,0.335,0.7451762136295288,0,0.9,0.0,1,0,0
1536.81,1,6,1,69.07,830,1003,12,524.46,0,0,1,0.302,2.9246945533437367,1,1.0,0.0,1,0,0
2900.42,21,3,0,52.72,853,841,4,3789.97,0,0,0,0.375,0.7650865082023862,0,0.4,0.0,1,0,0
943.03,4,0,0,64.23,1219,1594,6,2968.65,0,0,0,0.109,0.3175559409358005,1,0.6,0.0,0,0,1
1501.05,22,0,0,41.57,521,2047,3,2341.79,0,0,0,0.446,0.6407104349941736,0,0.3,0.0,1,0,0
1493.89,23,1,0,31.57,1315,296,3,4054.96,1,1,0,0.335,0.36831970729494373,1,0.3,0.2,0,0,1
1657.93,5,1,0,34.61,1025,1431,4,816.74,0,0,0,0.077,2.027453713894392,1,0.4,0.0,0,1,0
1024.38,15,2,0,22.73,254,681,2,1221.19,0,0,0,0.261,0.8381511876222192,0,0.2,0.0,0,0,1
2471.29,17,5,1,32.02,580,2182,5,2391.45,1,0,0,0.324,1.0329536667432966,0,0.5,0.2,0,0,1
2837.07,11,4,0,5.55,1426,1570,6,747.37,0,0,0,0.273,3.790999104720927,0,0.6,0.0,1,0,0
8624.57,18,5,1,21.24,449,685,1,2242.37,0,0,0,0.394,3.8444705955771896,0,0.1,0.0,0,1,0
813.97,23,6,1,22.09,853,791,3,1982.34,0,0,0,0.262,0.4104036625086975,1,0.3,0.0,0,0,1
2290.65,14,1,0,8.85,231,1984,1,921.25,2,1,0,0.439,2.4837625372729737,0,0.1,0.4,0,0,1
1997.8,9,1,0,5.56,959,2065,5,2987.45,0,0,0,0.132,0.6685070856129431,0,0.5,0.0,0,1,0
128.06,16,6,1,30.67,823,1573,1,502.86,0,0,0,0.607,0.25415790100424723,0,0.1,0.0,0,0,1
925.06,5,5,1,42.47,177,1734,1,1814.21,0,0,1,0.317,0.5096159672985494,1,0.1,0.0,0,1,0
226.21,17,3,0,41.86,790,1923,3,2027.36,0,0,0,0.465,0.11152359541698713,0,0.3,0.0,0,0,1
4992.7,17,5,1,20.08,144,893,5,624.33,0,0,0,0.359,7.984104392880559,0,0.5,0.0,1,0,0
459.48,6,6,1,16.88,540,1798,3,1307.1,2,0,0,0.052,0.35125754911704005,0,0.3,0.4,1,0,0
480.06,14,1,0,62.89,849,945,0,2251.94,0,0,0,0.216,0.2130815734107433,0,0.0,0.0,0,0,1
2998.11,20,5,1,103.69,839,851,1,1118.44,0,0,0,0.233,2.678223040091474,0,0.1,0.0,1,0,0
415.53,13,0,0,35.02,1097,2003,3,3706.15,1,0,0,0.175,0.1120888013703249,0,0.3,0.2,0,1,0
4580.47,19,1,0,7.76,926,2202,3,6891.38,0,0,0,0.091,0.6645701484828173,0,0.3,0.0,0,1,0
1747.16,2,1,0,30.82,384,227,3,2534.63,0,0,0,0.25,0.6890437484964289,1,0.3,0.0,1,0,0
5373.31,19,1,0,69.05,1341,1548,6,2005.97,0,0,0,0.294,2.6773245240337427,0,0.6,0.0,0,1,0
4116.61,9,6,1,13.49,1443,1176,5,572.12,0,0,0,0.717,7.182806393076493,0,0.5,0.0,0,1,0
882.42,22,2,0,14.36,341,679,4,1100.84,0,0,1,0.508,0.800860379002396,0,0.4,0.0,1,0,0
1085.44,9,2,0,50.86,1453,1337,3,1591.03,1,0,0,0.519,0.6817961973078397,0,0.3,0.2,1,0,0
2123.78,13,5,1,43.55,412,981,2,572.36,1,0,0,0.27,3.7040951583647277,0,0.2,0.2,0,1,0
1104.29,23,1,0,65.83,869,2130,6,2403.5,0,0,0,0.453,0.4592597213557912,1,0.6,0.0,0,1,0
1843.74,3,3,0,12.65,1418,2251,1,693.12,0,0,0,0.267,2.65622658906241,1,0.1,0.0,1,0,0
4301.47,19,5,1,16.56,1192,1865,4,1781.79,0,0,0,0.037,2.4127743592907747,0,0.4,0.0,0,0,1
2432.14,8,3,0,27.55,246,423,1,937.04,1,0,0,0.228,2.592789220075903,0,0.1,0.2,0,0,1
13210.6,20,1,0,12.02,1408,937,6,790.35,0,0,0,0.289,16.693751184684402,0,0.6,0.0,0,1,0
3128.45,7,1,0,27.71,576,1086,4,2334.71,0,0,0,0.2,1.3394000111315187,0,0.4,0.0,0,1,0
774.24,19,1,0,55.29,10,2026,5,886.74,0,0,0,0.431,0.8721472503210399,0,0.5,0.0,0,1,0
806.25,15,6,1,26.95,1254,642,2,1856.4,0,0,0,0.198,0.4340745127597717,0,0.2,0.0,1,0,0
697.94,4,1,0,11.84,127,121,0,1808.04,1,0,0,0.44,0.38580683677530625,1,0.0,0.2,0,0,1
1087.06,0,3,0,4.8,1352,550,6,1882.75,1,0,0,0.173,0.5770723291307233,1,0.6,0.2,0,1,0
4894.72,4,1,0,45.58,148,1055,1,2165.98,0,1,0,0.179,2.2587748848628046,1,0.1,0.0,1,0,0
3314.01,7,3,0,0.71,859,266,1,2183.05,0,0,0,0.088,1.517369107850095,0,0.1,0.0,1,0,0
183.84,5,4,0,30.78,119,426,2,1032.46,2,0,0,0.493,0.17788787180926208,1,0.2,0.4,1,0,0
2611.87,14,2,0,15.15,29,2298,3,726.42,0,0,0,0.271,3.590594154683677,0,0.3,0.0,1,0,0
2784.98,7,1,0,30.82,887,1969,4,430.94,0,1,0,0.241,6.447608464138538,0,0.4,0.0,0,0,1
9123.39,23,3,0,21.41,739,1410,2,6225.66,0,0,1,0.114,1.4652140955183035,1,0.2,0.0,0,0,1
3750.45,16,4,0,1.72,1414,2148,5,928.04,0,0,0,0.559,4.036909067424438,0,0.5,0.0,1,0,0
2032.87,21,1,0,33.89,668,1014,5,770.35,0,1,0,0.529,2.635470279380307,0,0.5,0.0,0,1,0
853.36,12,4,0,41.68,1420,710,1,2218.09,0,0,0,0.318,0.3845540289037398,0,0.1,0.0,0,0,1
3450.58,18,5,1,21.94,912,1701,5,2091.77,1,1,0,0.306,1.6488099504484486,0,0.5,0.2,0,0,1
3087.61,5,0,0,21.84,580,557,4,675.86,2,0,0,0.192,4.561667109889785,1,0.4,0.4,0,1,0
629.32,11,3,0,0.89,647,287,1,964.43,0,0,0,0.39,0.6518546140061943,0,0.1,0.0,1,0,0
11610.18,15,0,0,27.38,156,1460,4,3538.32,1,0,0,0.339,3.2803419865962953,0,0.4,0.2,0,0,1
5415.26,4,3,0,4.54,412,1276,2,1666.98,0,0,0,0.156,3.2465976810273505,1,0.2,0.0,0,0,1
920.34,15,0,0,48.38,464,181,1,3374.48,0,0,0,0.306,0.27265455579650894,0,0.1,0.0,0,0,1
200.55,0,3,0,30.31,1272,2450,2,1924.52,1,0,0,0.104,0.10415368316091238,1,0.2,0.2,1,0,0
855.77,12,3,0,17.79,682,337,1,821.74,1,0,1,0.12,1.040146340277609,0,0.1,0.2,0,0,1
377.86,19,6,1,21.38,903,1083,2,5031.69,0,0,0,0.193,0.07508111963979502,0,0.2,0.0,1,0,0
5991.73,23,1,0,29.71,128,1347,4,1614.84,0,0,1,0.378,3.708120853549856,1,0.4,0.0,1,0,0
6804.63,18,3,0,20.0,1062,1741,3,1342.83,0,0,0,0.122,5.063609236287328,0,0.3,0.0,0,0,1
5375.81,17,4,0,1.75,399,579,0,622.66,0,0,0,0.234,8.619776801462336,0,0.0,0.0,1,0,0
721.72,20,2,0,17.4,254,938,4,928.79,1,0,0,0.464,0.7762182858494929,0,0.4,0.2,0,1,0
214.82,19,1,0,29.95,971,2441,3,842.0,0,0,0,0.255,0.2548279952550415,0,0.3,0.0,0,1,0
391.88,12,4,0,26.28,766,2058,1,566.89,0,0,0,0.33,0.690063216467978,0,0.1,0.0,1,0,0
2173.79,9,4,0,80.47,664,445,4,581.97,0,0,0,0.254,3.728819664819802,0,0.4,0.0,0,1,0
2550.05,8,0,0,28.95,881,745,3,1430.1,0,0,1,0.11,1.781881070505206,0,0.3,0.0,1,0,0
2238.39,6,5,1,26.37,222,1497,2,439.15,1,0,0,0.276,5.085516301260934,0,0.2,0.2,0,1,0
816.87,11,3,0,46.31,921,1727,4,1229.3,0,0,0,0.166,0.6639600097537186,0,0.4,0.0,0,1,0
3572.19,9,3,0,15.18,1032,1447,4,331.4,0,0,0,0.22,10.746660649819496,0,0.4,0.0,1,0,0
510.8,9,1,0,4.47,212,1443,3,1357.14,0,0,0,0.207,0.37610261092376335,0,0.3,0.0,0,0,1
1500.13,10,3,0,59.2,1165,1294,5,928.64,0,1,0,0.4,1.6136676562970613,0,0.5,0.0,1,0,0
1036.74,9,1,0,45.61,315,2419,3,2764.58,0,0,0,0.036,0.37487254029896083,0,0.3,0.0,0,0,1
997.74,13,3,0,16.11,964,2034,0,2219.91,1,0,0,0.487,0.4492482811099955,0,0.0,0.2,0,0,1
1209.32,16,2,0,28.54,352,1871,2,2811.08,0,1,0,0.251,0.43004466444766865,0,0.2,0.0,1,0,0
10804.47,21,3,0,16.45,1230,1930,2,1388.39,0,0,0,0.112,7.776412670308551,0,0.2,0.0,1,0,0
1664.43,6,0,0,51.19,455,1600,5,1343.8,0,1,1,0.253,1.2376784651992863,0,0.5,0.0,0,0,1
15365.93,11,6,1,81.02,345,176,5,1476.31,0,0,0,0.083,10.40129018283231,0,0.5,0.0,0,1,0
6551.72,10,6,1,13.09,819,2279,3,1793.12,0,0,0,0.363,3.651773571444497,0,0.3,0.0,0,1,0
275.12,3,4,0,39.29,1032,538,3,1192.17,0,0,0,0.054,0.23057904573531013,1,0.3,0.0,1,0,0
1189.17,18,3,0,35.65,1411,1793,1,807.83,0,0,0,0.656,1.4702347835762768,0,0.1,0.0,0,0,1
4787.23,10,2,0,9.27,804,1947,2,2498.33,0,0,1,0.393,1.9154053286280721,0,0.2,0.0,1,0,0
1584.23,22,1,0,14.84,675,2193,4,1382.19,1,0,0,0.546,1.1453451803439874,0,0.4,0.2,1,0,0
4832.17,9,2,0,51.92,354,976,6,1231.84,1,0,0,0.484,3.919543493072905,0,0.6,0.2,0,0,1
5388.57,7,6,1,46.07,394,1763,1,1909.42,1,0,0,0.193,2.820620596518043,0,0.1,0.2,1,0,0
4056.95,8,3,0,51.28,1198,674,4,1012.16,0,0,1,0.228,4.00425401713451,0,0.4,0.0,0,0,1
523.32,0,1,0,56.76,78,1517,1,1612.26,1,0,0,0.549,0.32438664567397696,1,0.1,0.2,0,0,1
3392.93,22,2,0,27.75,500,1262,2,679.67,0,0,0,0.064,4.984691553910118,0,0.2,0.0,1,0,0
20750.85,5,0,0,10.49,731,868,7,1239.06,0,0,0,0.293,16.733746754189312,1,0.7,0.0,0,0,1
2037.46,2,4,0,19.36,392,2107,5,3240.11,0,0,0,0.178,0.6286303149229739,1,0.5,0.0,1,0,0
2332.0,6,5,1,36.64,851,239,4,1390.5,0,0,0,0.123,1.6758893280632412,0,0.4,0.0,0,1,0
303.93,19,3,0,27.94,1055,379,3,673.52,0,0,1,0.256,0.450587084148728,0,0.3,0.0,0,1,0
1267.5,14,3,0,40.67,453,784,3,1303.33,1,0,0,0.082,0.9717632807648372,0,0.3,0.2,0,1,0
660.7,16,0,0,9.66,296,793,6,267.11,2,0,0,0.163,2.464287046361568,0,0.6,0.4,1,0,0
2336.45,12,4,0,48.06,720,2378,3,978.02,1,0,0,0.273,2.386519172233458,0,0.3,0.2,0,1,0
