transaction_id,customer_id,amount,hour,day_of_week,is_weekend,distance_km,device_age_days,account_age_days,transactions_last_24h,avg_amount_30d,failed_attempts_24h,is_new_device,is_new_location,merchant_risk,channel,fraud
TX0000035,14439,8243.66,18,3,0,46.57,744,1209,2,3611.67,0,0,1,0.059,MOBILE,1
TX0000036,10319,1675.52,4,6,1,27.45,1007,618,3,1441.51,0,1,0,0.329,POS,0
TX0000037,14291,335.9,1,2,0,12.07,256,800,2,1214.45,0,0,0,0.408,POS,0
TX0000038,14138,2643.02,0,4,0,42.55,590,916,7,728.95,1,0,0,0.313,POS,0
TX0000039,11383,2072.64,9,5,1,27.39,73,491,3,2419.55,0,0,0,0.447,WEB,0
TX0000040,13158,1149.0,11,0,0,123.05,1488,1689,3,2452.3,1,0,0,0.513,POS,0
TX0000041,10826,648.81,13,2,0,53.81,1333,289,4,1727.48,1,0,0,0.182,WEB,0
TX0000042,13790,621.2,4,1,0,0.53,1241,2317,4,2583.46,1,1,0,0.259,POS,0
TX0000043,13502,5335.7,10,6,1,42.18,1449,1408,1,2742.88,0,0,0,0.195,POS,0
TX0000044,11772,2305.5,15,0,0,5.73,768,1927,3,1424.03,1,0,0,0.32,POS,0
TX0000045,10339,2904.99,6,0,0,53.47,232,2481,2,2467.02,1,0,0,0.086,POS,0
TX0000046,14853,2299.16,13,5,1,41.28,736,904,3,232.16,0,0,0,0.229,WEB,0
TX0000047,12228,2497.96,6,1,0,7.82,775,2498,4,1790.99,0,0,0,0.411,POS,0
TX0000048,14465,1126.81,20,1,0,8.9,774,1082,3,2294.19,0,0,0,0.226,MOBILE,0
TX0000049,13389,1465.15,10,3,0,38.93,279,1954,2,1561.03,0,1,0,0.42,POS,0
TX0000050,13891,5770.15,19,3,0,5.07,767,1296,4,3217.75,0,1,0,0.388,MOBILE,1
TX0000051,13799,7406.64,8,6,1,31.79,873,1709,8,1462.21,1,0,0,0.296,POS,0
TX0000052,10973,530.3,8,5,1,8.68,148,209,6,845.68,1,0,0,0.066,POS,0
TX0000053,11819,1461.59,18,5,1,20.69,472,661,5,1674.77,0,0,0,0.114,WEB,0
TX0000054,12333,4166.48,7,6,1,63.16,607,1256,2,3452.53,0,0,0,0.437,MOBILE,0
TX0000055,12488,11820.87,17,3,0,50.02,1416,2005,2,986.94,0,0,0,0.385,MOBILE,1
TX0000056,10219,10694.68,1,5,1,68.15,383,1195,2,3484.22,0,0,0,0.165,POS,1
TX0000057,12732,812.23,20,4,0,30.05,1164,2477,2,1152.53,0,0,0,0.284,WEB,0
TX0000058,10771,6441.96,18,3,0,45.34,616,1510,6,1443.8,0,0,0,0.298,MOBILE,1
TX0000059,13716,1908.7,13,6,1,5.95,528,68,2,2436.54,2,0,0,0.038,MOBILE,0
TX0000060,13415,5115.13,11,0,0,38.54,445,2088,2,2015.61,0,0,0,0.247,WEB,0
TX0000061,14612,3959.29,8,2,0,50.15,616,937,6,1819.66,0,0,0,0.092,MOBILE,0
TX0000062,13723,508.56,8,2,0,18.54,1371,2320,1,1159.2,0,0,0,0.31,WEB,0
TX0000063,11833,3119.77,7,3,0,62.08,1341,1778,4,2932.62,0,0,0,0.404,POS,0
TX0000064,14837,4920.86,16,2,0,54.33,220,2219,6,3556.2,1,0,0,0.297,POS,0
TX0000065,12054,1764.08,4,2,0,13.6,730,937,3,2554.11,0,0,0,0.143,WEB,1
TX0000066,11629,1407.01,6,6,1,79.1,1290,1376,2,1519.37,0,0,0,0.417,POS,0
TX0000067,14527,373.86,9,5,1,51.58,260,895,2,2157.53,0,0,0,0.536,WEB,0
TX0000068,11852,3565.86,11,5,1,20.85,785,2358,0,1663.34,1,0,0,0.042,WEB,0
TX0000069,10381,2217.84,6,2,0,33.22,591,350,3,866.66,0,1,0,0.691,WEB,0
TX0000070,12347,715.77,10,2,0,67.49,1102,2455,4,1980.31,1,0,0,0.423,WEB,0
TX0000071,13978,1299.46,19,3,0,33.67,1422,1316,5,2652.4,0,1,0,0.351,POS,0
TX0000072,10947,2100.74,6,2,0,5.31,1278,295,2,3329.91,0,0,0,0.085,WEB,0
TX0000073,12314,1029.58,4,4,0,23.18,1145,1358,5,636.81,0,0,0,0.471,POS,0
TX0000074,10649,1804.83,18,1,0,8.74,466,361,2,2776.1,1,1,0,0.241,MOBILE,0
TX0000075,13432,312.81,6,0,0,5.83,213,805,5,484.08,1,0,0,0.526,POS,0
TX0000076,12378,6939.35,16,2,0,25.15,242,1532,1,476.19,1,0,0,0.328,POS,0
TX0000077,11650,1828.87,22,5,1,0.03,1103,681,1,473.57,0,0,0,0.198,WEB,0
TX0000078,11134,599.56,12,0,0,4.58,1350,2001,5,3214.94,1,0,0,0.388,MOBILE,0
TX0000079,12822,153.83,13,0,0,60.44,767,1219,3,2585.05,0,0,0,0.066,POS,0
TX0000080,13349,5037.56,16,5,1,75.96,363,1544,1,4413.44,0,0,0,0.217,WEB,1
TX0000081,14701,3145.2,3,2,0,9.21,1429,1311,4,2717.67,1,0,0,0.168,WEB,0
TX0000082,12185,2222.14,2,3,0,5.43,364,1235,2,1132.29,0,0,0,0.159,WEB,0
TX0000083,10803,4269.24,4,5,1,9.95,149,1256,3,1123.37,0,0,0,0.27,MOBILE,0
TX0000084,14163,4257.51,10,4,0,28.98,689,1571,4,1574.16,0,0,0,0.12,MOBILE,0
TX0000085,13148,2186.33,20,6,1,30.04,765,2071,2,2319.13,0,0,0,0.144,MOBILE,0
TX0000086,13501,1395.95,14,1,0,0.23,197,776,3,399.65,0,0,0,0.548,POS,1
TX0000087,10486,1186.07,20,5,1,35.84,1354,234,3,2583.05,0,0,0,0.111,MOBILE,1
TX0000088,11561,2742.11,9,3,0,1.84,511,1760,2,714.58,0,1,0,0.244,MOBILE,0
TX0000089,13839,7277.72,19,0,0,4.93,360,953,0,405.33,1,1,0,0.403,POS,1
TX0000090,14161,1623.99,17,3,0,13.82,804,2323,4,1804.07,2,0,0,0.168,WEB,0
TX0000091,12176,7879.5,2,3,0,54.24,201,1347,4,3345.92,1,0,0,0.066,WEB,0
TX0000092,14023,2614.15,12,0,0,49.81,1288,2322,1,1187.95,0,0,0,0.355,MOBILE,0
TX0000093,14208,2633.93,15,3,0,30.14,440,2404,3,2236.26,1,0,0,0.379,MOBILE,0
TX0000094,11937,19943.36,9,0,0,41.2,104,2047,2,1426.78,0,0,0,0.309,POS,1
TX0000095,14490,9397.7,18,4,0,56.8,885,2034,3,1303.6,0,0,0,0.127,MOBILE,1
TX0000096,11441,9644.58,9,4,0,44.32,1369,1506,6,670.42,1,0,0,0.154,WEB,0
TX0000097,11197,810.72,17,0,0,43.47,560,2120,3,1851.68,0,0,0,0.012,WEB,0
TX0000098,13412,16118.52,17,4,0,2.99,713,970,1,1509.45,0,1,0,0.076,MOBILE,1
TX0000099,13183,1657.93,5,1,0,34.61,1025,1431,4,816.74,0,0,0,0.077,MOBILE,0
TX0000100,10698,1433.75,1,4,0,9.67,1237,1279,1,1025.02,0,0,0,0.69,POS,0
TX0000101,14163,207.74,21,1,0,94.82,174,1816,4,1770.99,1,0,0,0.189,MOBILE,0
TX0000102,10999,2494.47,20,6,1,9.69,1309,694,1,698.37,2,0,0,0.538,WEB,0
TX0000103,14024,609.23,22,3,0,74.02,1340,822,2,1016.45,0,0,0,0.336,MOBILE,1
TX0000104,10036,2707.54,1,6,1,36.95,780,1426,5,7599.09,0,0,0,0.438,POS,0
TX0000105,13984,563.39,16,0,0,16.95,822,1813,2,938.15,0,1,0,0.119,WEB,0
TX0000106,13934,10864.35,3,5,1,13.58,1314,2313,1,660.31,1,0,0,0.357,POS,1
TX0000107,13901,3124.77,11,0,0,6.61,406,2332,2,5127.72,1,1,0,0.621,MOBILE,0
TX0000108,13324,17595.76,19,0,0,13.39,232,1485,4,977.42,0,1,0,0.024,MOBILE,1
TX0000109,12357,647.11,6,1,0,13.29,16,2467,0,1096.53,3,0,0,0.052,POS,0
TX0000110,13525,8473.69,8,2,0,37.12,1318,1276,7,758.8,0,0,0,0.51,POS,1
TX0000111,11385,296.73,11,6,1,5.74,344,1255,3,938.33,0,1,0,0.218,POS,0
TX0000112,13903,2216.35,11,5,1,4.46,1280,1287,3,2092.08,0,0,0,0.312,POS,0
TX0000113,12778,957.11,0,0,0,48.54,740,2048,2,3870.84,0,0,0,0.441,WEB,0
TX0000114,12294,1150.08,8,6,1,84.45,842,140,3,2556.39,0,0,0,0.038,POS,0
TX0000115,12528,1073.89,20,1,0,20.99,222,1626,6,2700.59,0,0,0,0.706,POS,0
TX0000116,12843,721.13,2,6,1,33.52,961,1563,2,2337.34,1,0,0,0.048,WEB,0
TX0000117,10186,510.74,8,1,0,12.86,1200,1653,4,2191.34,0,0,0,0.082,POS,0
TX0000118,10698,1156.46,14,4,0,15.75,1113,1297,0,1847.86,0,0,1,0.155,WEB,0
TX0000119,11227,2021.45,9,4,0,10.59,1176,236,4,3025.38,1,1,0,0.228,WEB,0
TX0000120,10572,5763.13,16,5,1,5.76,1491,1823,4,784.67,0,1,0,0.243,WEB,0
TX0000121,12198,2418.47,6,4,0,37.43,362,202,6,1611.75,1,1,1,0.353,WEB,1
TX0000122,13342,5779.56,4,1,0,39.59,627,645,3,1446.91,1,0,0,0.245,MOBILE,1
TX0000123,13272,410.5,22,6,1,9.46,116,319,0,760.26,2,0,1,0.29,POS,0
TX0000124,12355,1167.44,18,2,0,2.1,694,1074,4,674.4,1,0,0,0.168,MOBILE,0
TX0000125,14275,3664.87,7,6,1,1.3,1022,1618,1,1515.98,0,0,0,0.02,MOBILE,0
TX0000126,12826,2536.99,2,0,0,40.81,500,1991,8,1447.25,0,0,0,0.232,WEB,0
TX0000127,10395,760.8,10,6,1,10.08,1203,1654,3,329.55,0,0,0,0.237,MOBILE,0
TX0000128,13824,4580.72,18,2,0,17.58,292,1140,4,3109.48,1,0,0,0.076,POS,0
TX0000129,12873,1058.14,14,6,1,27.88,1194,2143,2,1122.12,0,0,0,0.146,WEB,0
TX0000130,13173,827.31,16,5,1,15.66,417,2351,4,3201.1,0,0,0,0.494,POS,0
TX0000131,12826,2929.21,12,6,1,13.13,420,2246,6,607.43,1,0,0,0.468,MOBILE,0
TX0000132,12767,1811.14,21,1,0,47.17,1013,1328,6,3687.55,1,0,0,0.206,MOBILE,0
TX0000133,10452,1067.02,2,5,1,16.19,827,2361,4,747.17,1,0,0,0.369,POS,0
TX0000134,12796,1031.4,19,5,1,4.92,61,1652,2,2031.63,0,0,0,0.203,MOBILE,0
TX0000135,13974,617.54,23,6,1,23.98,924,1584,4,2370.67,1,0,1,0.168,MOBILE,0
TX0000136,11519,1211.72,20,5,1,4.83,1059,289,3,759.54,0,0,0,0.18,MOBILE,0
TX0000137,13014,5407.55,6,0,0,48.98,816,2018,1,4171.26,1,0,0,0.164,POS,1
TX0000138,10154,2298.68,22,6,1,18.79,1421,1078,3,1755.67,0,0,0,0.269,MOBILE,1
TX0000139,11737,4694.45,23,1,0,18.0,198,436,2,1405.43,0,0,0,0.158,POS,0
TX0000140,12183,3015.77,20,6,1,23.44,364,730,3,4144.71,1,0,0,0.712,POS,0
TX0000141,14913,975.84,7,5,1,9.83,1239,1257,2,2398.8,1,0,0,0.343,WEB,0
TX0000142,11072,345.99,19,5,1,53.96,403,301,5,475.14,0,0,0,0.395,WEB,0
TX0000143,11382,712.43,20,4,0,14.54,472,2338,1,1520.06,1,0,0,0.341,MOBILE,0
TX0000144,12042,919.94,4,4,0,40.04,1346,1987,4,1980.22,0,0,0,0.144,MOBILE,0
TX0000145,14963,851.47,6,3,0,3.64,378,461,5,843.37,0,0,1,0.261,WEB,0
TX0000146,14267,4800.92,18,5,1,11.23,1440,2153,2,1804.47,0,0,0,0.055,MOBILE,1
TX0000147,10173,4751.1,19,6,1,32.51,941,1075,8,2792.41,1,0,0,0.08,POS,0
TX0000148,11169,16439.16,15,1,0,12.49,1120,2097,4,503.07,0,0,0,0.627,POS,1
TX0000149,14108,838.67,12,5,1,13.21,613,1281,3,1716.43,1,0,0,0.453,MOBILE,0
TX0000150,10291,8892.74,23,5,1,43.13,333,812,3,2705.44,0,0,0,0.034,MOBILE,1
TX0000151,14278,8837.94,8,4,0,27.89,857,631,4,3729.3,1,0,0,0.612,POS,1
TX0000152,11406,1426.93,17,6,1,19.63,751,221,3,745.2,0,0,1,0.183,WEB,0
TX0000153,14588,2890.25,22,6,1,5.3,1312,2063,2,2465.59,1,0,0,0.52,POS,0
TX0000154,11467,6224.67,6,3,0,10.7,1262,1427,6,1285.86,4,0,1,0.02,POS,1
TX0000155,12171,1697.0,1,0,0,1.0,285,290,2,1846.56,1,1,0,0.035,POS,0
TX0000156,13309,1570.5,3,0,0,2.19,900,2310,3,635.25,0,1,0,0.519,WEB,1
TX0000157,10631,961.22,16,4,0,9.69,126,2053,1,1385.78,0,0,0,0.066,WEB,0
TX0000158,12785,169.95,6,2,0,31.67,334,1250,2,607.44,0,0,0,0.241,MOBILE,0
TX0000159,12525,1931.43,17,1,0,3.45,64,724,3,1753.91,1,0,0,0.066,WEB,0
TX0000160,13919,885.08,11,0,0,51.72,52,1777,2,4682.53,0,0,0,0.211,WEB,0
TX0000161,14980,614.12,20,1,0,78.34,565,1483,1,6333.58,0,0,1,0.181,WEB,0
TX0000162,13321,2745.54,15,4,0,21.92,593,1846,4,747.76,0,0,0,0.323,WEB,0
TX0000163,12045,421.67,14,5,1,55.75,159,1275,2,1423.31,1,0,0,0.078,WEB,0
TX0000164,12031,4030.4,5,5,1,96.26,1198,1227,2,2426.16,0,0,0,0.118,POS,0
TX0000165,12089,2919.42,7,4,0,11.13,693,2284,2,654.05,0,0,0,0.175,MOBILE,0
TX0000166,14070,1206.34,5,0,0,35.88,48,1674,3,683.38,1,0,0,0.589,POS,0
TX0000167,11606,1689.57,1,4,0,53.52,1189,2134,7,444.6,0,0,0,0.435,POS,0
TX0000168,10834,547.48,7,2,0,2.75,542,2062,2,1641.37,0,0,0,0.385,WEB,0
TX0000169,11671,3811.89,22,0,0,51.27,13,601,3,1070.31,1,0,0,0.126,POS,0
TX0000170,10113,2170.92,19,4,0,11.31,1192,347,2,835.86,0,0,0,0.344,WEB,0
TX0000171,10530,2338.8,5,6,1,51.52,1427,1928,5,1223.0,0,0,0,0.327,POS,0
TX0000172,10450,2973.31,8,6,1,71.09,1080,738,1,798.11,0,0,0,0.474,WEB,0
TX0000173,13857,946.84,17,5,1,62.05,917,1256,3,1804.1,0,0,1,0.474,POS,0
TX0000174,13611,394.05,1,1,0,7.02,23,1495,0,1278.84,1,0,0,0.346,MOBILE,0
TX0000175,13483,4688.46,17,3,0,38.95,1136,495,6,3628.74,0,0,0,0.202,MOBILE,0
TX0000176,12309,3584.09,13,3,0,1.6,983,1367,3,1645.7,0,0,0,0.424,MOBILE,0
TX0000177,13585,1053.83,17,2,0,21.89,164,1263,3,648.53,0,0,0,0.104,WEB,0
TX0000178,10806,2709.86,0,0,0,10.26,58,1095,1,438.02,1,0,0,0.885,MOBILE,0
TX0000179,14503,6332.91,22,3,0,46.63,817,558,2,2732.6,0,0,0,0.312,MOBILE,0
TX0000180,12505,5620.88,16,2,0,8.48,1235,937,1,4548.42,0,0,0,0.28,POS,0
TX0000181,14690,1023.5,4,2,0,68.95,142,2138,4,6182.4,3,0,0,0.078,WEB,0
TX0000182,10761,406.17,20,2,0,20.72,10,1909,2,3271.32,0,0,1,0.515,WEB,0
TX0000183,12486,482.18,0,5,1,19.46,457,761,5,957.2,0,0,0,0.088,MOBILE,0
TX0000184,13481,1317.93,3,1,0,8.41,108,1788,4,847.4,1,1,0,0.25,POS,0
TX0000185,12478,7768.71,18,3,0,4.39,1452,101,3,4167.02,1,0,0,0.2,MOBILE,1
TX0000186,12230,868.79,20,1,0,64.11,665,590,2,1387.82,0,0,0,0.463,POS,0
TX0000187,10831,991.5,2,6,1,35.68,250,1921,2,1724.46,1,0,0,0.335,MOBILE,0
TX0000188,11905,971.3,16,2,0,15.84,119,2217,0,1514.35,0,0,0,0.114,POS,0
TX0000189,11193,1057.66,19,6,1,44.07,1150,2087,2,1366.26,0,0,0,0.389,POS,1
TX0000190,11507,1779.9,2,0,0,9.05,1123,2428,3,1250.72,1,0,0,0.164,MOBILE,0
TX0000191,13418,500.44,1,5,1,21.74,896,2220,4,1695.44,0,0,1,0.674,WEB,0
TX0000192,13151,5323.58,5,6,1,25.97,1119,1269,6,2410.62,0,0,0,0.316,POS,1
TX0000193,13035,1557.32,5,1,0,45.98,834,2025,4,2801.16,0,0,0,0.239,POS,1
TX0000194,11809,21475.68,5,6,1,19.14,28,1880,4,3244.74,3,0,0,0.281,MOBILE,0
TX0000195,14798,556.67,19,6,1,37.76,145,279,1,1183.0,0,0,1,0.089,WEB,0
TX0000196,10438,8825.57,4,6,1,43.56,719,1762,3,1172.78,1,0,0,0.288,WEB,1
TX0000197,11712,7236.46,12,5,1,12.38,32,708,5,1154.19,0,0,1,0.389,MOBILE,0
TX0000198,10590,1192.56,8,0,0,52.31,366,255,1,5662.89,0,0,0,0.261,POS,0
TX0000199,11694,1212.55,7,0,0,3.83,1284,241,2,1379.29,0,0,0,0.428,MOBILE,0
TX0000200,14809,716.4,21,2,0,35.49,920,1999,1,988.13,0,0,0,0.189,WEB,0
TX0000201,11831,724.67,7,5,1,47.18,212,665,1,1051.07,1,0,0,0.49,WEB,1
TX0000202,14542,1798.91,5,3,0,26.52,159,610,2,1952.46,1,0,0,0.58,MOBILE,0
TX0000203,12475,1837.64,5,0,0,17.23,1134,1842,4,514.67,0,0,0,0.259,MOBILE,0
TX0000204,13498,362.56,22,2,0,43.48,1335,484,2,735.56,0,0,0,0.478,MOBILE,0
TX0000205,12287,17837.3,20,5,1,31.81,878,2185,0,2169.15,0,0,0,0.202,POS,1
TX0000206,11329,1388.56,13,5,1,43.89,924,68,3,1857.54,1,1,0,0.346,MOBILE,0
TX0000207,13821,1922.06,13,5,1,13.18,608,2437,1,1226.56,0,0,0,0.242,MOBILE,0
TX0000208,14845,962.28,12,4,0,35.97,1484,709,2,1973.91,0,0,0,0.395,MOBILE,0
TX0000209,11317,1378.2,14,1,0,48.39,1329,1947,2,2254.73,0,1,0,0.15,WEB,0
TX0000210,13893,1258.48,16,1,0,29.28,195,900,2,1783.62,0,1,0,0.388,POS,0
TX0000211,11305,1794.73,1,6,1,3.55,1373,848,1,963.41,0,0,0,0.219,POS,0
TX0000212,13584,1773.93,19,0,0,35.24,92,992,3,854.64,2,0,0,0.479,MOBILE,0
TX0000213,13945,4025.52,18,5,1,10.43,246,432,3,1193.36,0,0,0,0.064,POS,0
TX0000214,12246,2259.19,22,4,0,14.37,310,1288,3,1303.17,0,0,0,0.473,POS,0
TX0000215,13684,3640.31,10,0,0,32.66,28,1607,3,952.75,0,0,0,0.308,MOBILE,0
TX0000216,11361,1782.43,0,5,1,56.93,1451,1249,5,2376.99,0,0,0,0.349,MOBILE,0
TX0000217,10396,2268.32,8,6,1,57.43,875,1869,3,2079.63,0,0,0,0.149,POS,0
TX0000218,10481,1414.08,9,4,0,13.44,995,980,1,1491.87,0,0,0,0.025,MOBILE,0
TX0000219,12235,4908.16,14,6,1,4.99,925,1054,1,1579.06,0,0,0,0.049,WEB,0
TX0000220,14513,2485.34,4,1,0,16.46,33,1547,3,1717.11,0,0,1,0.351,MOBILE,0
TX0000221,10637,1536.81,1,6,1,69.07,830,1003,12,524.46,0,0,1,0.302,WEB,1
TX0000222,12278,1491.64,3,3,0,39.87,1320,2116,2,2097.18,0,0,0,0.042,POS,0
TX0000223,13520,1613.73,16,4,0,44.98,355,613,3,1677.25,1,0,0,0.598,WEB,0
TX0000224,11011,1855.64,3,3,0,60.88,890,170,4,5248.14,0,0,0,0.303,WEB,0
TX0000225,13608,1701.36,15,6,1,13.71,658,1503,4,376.1,0,0,0,0.544,WEB,0
TX0000226,11529,1029.37,17,5,1,16.49,283,1231,5,3476.69,0,0,0,0.208,POS,0
TX0000227,14043,3867.81,13,5,1,41.58,495,1498,5,3026.73,0,0,0,0.128,MOBILE,0
TX0000228,12896,4120.04,1,2,0,10.79,587,79,4,2345.53,1,0,0,0.033,POS,0
TX0000229,12734,10714.99,2,6,1,40.67,1473,2389,4,621.74,2,1,0,0.057,MOBILE,1
TX0000230,10883,984.28,20,5,1,18.28,1088,1240,4,1266.52,0,0,0,0.547,WEB,0
TX0000231,12316,3505.12,14,2,0,25.61,225,840,5,1128.62,1,1,0,0.48,POS,0
TX0000232,14283,266.77,18,1,0,77.65,892,158,1,2718.33,1,0,0,0.328,POS,0
TX0000233,10097,4124.03,22,5,1,13.38,1322,358,6,1262.68,0,0,0,0.169,POS,0
TX0000234,13792,419.46,9,0,0,5.57,257,670,2,3715.14,0,0,0,0.149,MOBILE,0
TX0000235,12463,672.64,21,6,1,64.68,526,1401,2,1587.88,0,1,1,0.204,WEB,0
TX0000236,13597,2509.32,10,5,1,40.86,71,777,2,1716.18,0,1,0,0.33,WEB,1
TX0000237,13316,966.85,21,4,0,19.49,699,1565,1,581.21,0,0,1,0.328,POS,0
TX0000238,12160,843.19,16,6,1,7.35,375,1030,6,3918.63,0,0,0,0.44,MOBILE,0
TX0000239,11543,1108.46,5,1,0,77.53,572,2143,2,1432.95,0,0,0,0.064,POS,0
TX0000240,13136,3733.75,0,6,1,7.63,999,2476,2,1721.9,1,0,0,0.359,MOBILE,0
TX0000241,10701,708.15,21,0,0,33.71,424,2131,3,618.78,0,0,0,0.183,WEB,0
TX0000242,12920,1705.11,9,5,1,11.29,348,1868,2,2117.59,0,0,1,0.16,WEB,0
TX0000243,10473,1232.61,20,1,0,6.93,539,2229,4,3988.71,1,0,0,0.322,WEB,0
TX0000244,13249,4086.45,4,4,0,60.19,419,2137,2,519.02,0,0,1,0.196,WEB,1
TX0000245,13143,4202.62,11,2,0,23.45,1153,472,0,2137.58,2,0,0,0.414,POS,0
TX0000246,10422,287.22,4,2,0,50.03,1188,2284,4,1713.81,1,0,0,0.607,POS,0
TX0000247,13787,5118.68,2,1,0,71.61,314,1714,5,1523.17,0,0,0,0.259,POS,0
TX0000248,12079,977.29,13,6,1,6.3,1470,748,3,567.03,1,0,0,0.378,MOBILE,0
TX0000249,13934,2279.78,10,3,0,69.65,919,2269,2,1968.08,0,0,0,0.197,MOBILE,0
TX0000250,10208,703.9,5,3,0,19.76,126,205,3,1704.18,0,0,0,0.224,WEB,0
TX0000251,10897,2608.88,8,1,0,8.23,268,373,0,1626.57,0,0,0,0.227,WEB,0
TX0000252,12469,23083.9,9,5,1,47.37,1204,628,2,1068.4,0,0,1,0.046,WEB,1
TX0000253,10941,2044.09,5,1,0,0.33,1074,600,1,1131.05,1,0,0,0.511,POS,0
TX0000254,11649,1136.48,17,3,0,45.39,808,2366,3,3254.59,0,0,0,0.121,POS,0
TX0000255,13302,1427.07,7,2,0,3.14,719,944,4,2862.93,0,0,0,0.382,WEB,0
TX0000256,10722,414.27,14,6,1,16.69,723,1835,3,2849.73,0,0,0,0.375,POS,0
TX0000257,13388,7665.65,17,2,0,41.49,234,213,0,353.35,0,0,1,0.186,WEB,1
TX0000258,10517,2461.25,7,4,0,20.21,359,1517,4,722.3,1,0,0,0.402,MOBILE,0
TX0000259,10875,630.58,1,1,0,10.49,1128,795,3,3471.61,1,0,1,0.253,WEB,0
TX0000260,12938,651.46,1,2,0,50.0,1499,2437,6,1058.96,0,1,0,0.288,POS,0
TX0000261,13967,1827.72,14,3,0,9.58,573,2394,3,1511.38,0,0,0,0.458,MOBILE,0
TX0000262,10852,4571.23,0,6,1,22.42,334,1097,5,1329.42,0,0,0,0.341,MOBILE,0
TX0000263,11499,569.38,2,2,0,52.08,1070,1845,3,2309.46,2,0,0,0.298,POS,0
TX0000264,14625,5480.5,11,1,0,21.22,1480,2019,2,2675.16,0,0,0,0.101,POS,1
TX0000265,14948,1642.39,6,6,1,27.55,446,322,3,1775.19,0,0,0,0.099,WEB,0
TX0000266,12905,710.02,10,1,0,72.23,1061,1322,2,826.91,1,1,0,0.239,MOBILE,1
